group_code,team_name,team_code
A,Mexico,MEX
A,South Africa,RSA
A,Korea Republic,KOR
A,Czechia,CZE
B,Canada,CAN
B,Bosnia and Herzegovina,BIH
B,Qatar,QAT
B,Switzerland,SUI
C,Haiti,HAI
C,Scotland,SCO
C,Brazil,BRA
C,Morocco,MAR
D,USA,USA
D,Paraguay,PAR
D,Australia,AUS
D,Turkiye,TUR
E,Cote d'Ivoire,CIV
E,Ecuador,ECU
E,Germany,GER
E,Curacao,CUW
F,Netherlands,NED
F,Japan,JPN
F,Sweden,SWE
F,Tunisia,TUN
G,IR Iran,IRN
G,New Zealand,NZL
G,Belgium,BEL
G,Egypt,EGY
H,Saudi Arabia,KSA
H,Uruguay,URU
H,Spain,ESP
H,Cabo Verde,CPV
I,France,FRA
I,Senegal,SEN
I,Iraq,IRQ
I,Norway,NOR
J,Argentina,ARG
J,Algeria,ALG
J,Austria,AUT
J,Jordan,JOR
K,Portugal,POR
K,Congo DR,COD
K,Uzbekistan,UZB
K,Colombia,COL
L,Ghana,GHA
L,Panama,PAN
L,England,ENG
L,Croatia,CRO
